freq,sizeclas,sex,unit,geo,2006,2010,2014,time,values
A,GE10,F,EUR,AT,9.75,11.11,12.28,2018,13.5
A,GE10,F,EUR,CZ,3.15,4.14,4.12,2018,5.67
A,GE10,F,EUR,HU,2.59,3.2,3.46,2018,4.24
A,GE10,F,EUR,PL,2.99,3.89,4.07,2018,4.72
A,GE10,F,EUR,RO,1.32,1.84,2.02,2018,3.68
A,GE10,F,EUR,SK,2.25,3.62,4.04,2018,5.15
A,GE10,F,NAC,AT,9.75,11.11,12.28,2018,13.5
A,GE10,F,NAC,CZ,89.21,104.74,113.32,2018,145.35
A,GE10,F,NAC,HU,684.78,881.36,1069.27,2018,1351.88
A,GE10,F,NAC,PL,11.65,15.52,17.03,2018,20.1
A,GE10,F,NAC,RO,4.64,7.77,8.97,2018,17.12
A,GE10,F,NAC,SK,83.7,3.62,4.04,2018,5.15
A,GE10,F,PPS,AT,9.27,10.07,11.61,2018,12.06
A,GE10,F,PPS,CZ,5.18,5.72,6.46,2018,7.72
A,GE10,F,PPS,HU,4.34,5.36,6.02,2018,6.58
A,GE10,F,PPS,PL,5.15,6.5,7.29,2018,7.92
A,GE10,F,PPS,RO,2.64,3.72,3.8,2018,6.8
A,GE10,F,PPS,SK,3.3,5.41,5.96,2018,6.46
A,GE10,M,EUR,AT,12.82,14.23,15.32,2018,16.52
A,GE10,M,EUR,CZ,3.86,4.95,4.94,2018,6.65
A,GE10,M,EUR,HU,2.7,3.56,3.7,2018,4.52
A,GE10,M,EUR,PL,3.26,4.13,4.48,2018,5.17
A,GE10,M,EUR,RO,1.45,2.02,2.04,2018,3.79
A,GE10,M,EUR,SK,2.79,4.22,4.76,2018,6.17
A,GE10,M,NAC,AT,12.82,14.23,15.32,2018,16.52
A,GE10,M,NAC,CZ,109.43,125.15,135.99,2018,170.54
A,GE10,M,NAC,HU,714.34,981.5,1141.15,2018,1440.24
A,GE10,M,NAC,PL,12.72,16.5,18.74,2018,22.05
A,GE10,M,NAC,RO,5.11,8.51,9.08,2018,17.64
A,GE10,M,NAC,SK,103.83,4.22,4.76,2018,6.17
