nuts2,gdp_mio_eur,gdp_pps_per_inh,employment_rate,tertiary_edu_pct,rd_pct_gdp,broadband_pct,internet_use_pct,population,country,is_budapest
AT11,9421.37,85.0,74.9,31.4,0.84,90.7,89.39,296010.0,AT,0
AT12,63439.6,100.0,77.5,33.9,1.78,90.7,93.44,1690879.0,AT,0
AT13,103536.44,143.0,69.4,44.5,4.04,92.49,94.67,1920949.0,AT,0
AT21,22568.48,107.0,73.7,33.6,2.98,89.48,89.06,562089.0,AT,0
AT22,52124.55,111.0,75.9,30.2,5.17,89.63,90.22,1247077.0,AT,0
AT31,71108.47,126.0,79.3,30.5,3.58,91.05,92.53,1495608.0,AT,0
AT32,29439.53,140.0,78.7,33.6,1.75,91.99,92.48,560710.0,AT,0
AT33,33876.81,118.0,77.1,31.4,3.21,88.93,92.91,760105.0,AT,0
AT34,20568.34,137.0,79.1,28.6,1.86,93.63,92.1,399237.0,AT,0
ATZZ,145.67,,,,,,,,AT,0
BG31,4963.5,39.0,64.4,19.8,0.36,73.5,69.21,696328.0,BG,0
BG32,5356.29,41.0,71.7,26.6,0.31,82.67,77.67,705241.0,BG,0
BG33,7140.54,47.0,73.1,25.9,0.35,85.23,76.84,832326.0,BG,0
BG34,8200.47,46.0,71.6,22.7,0.28,81.73,72.57,959331.0,BG,0
BG41,36176.33,97.0,79.0,43.1,1.18,86.23,79.22,2024977.0,BG,0
BG42,9506.81,39.0,70.8,22.6,0.46,85.53,71.97,1313914.0,BG,0
CZ01,66697.28,206.0,82.4,49.8,2.83,94.16,93.64,1259413.0,CZ,0
CZ02,29091.23,83.0,81.9,25.6,2.28,89.31,86.93,1372588.0,CZ,0
CZ03,23898.35,77.0,81.2,21.6,1.57,92.22,90.16,1212780.0,CZ,0
CZ04,17002.35,61.0,77.5,15.1,0.38,86.03,86.82,1086606.0,CZ,0
CZ05,28208.12,74.0,80.0,20.9,1.38,87.32,86.89,1496140.0,CZ,0
CZ06,37229.78,86.0,80.0,27.7,2.52,88.11,89.38,1685220.0,CZ,0
CZ07,22470.94,73.0,78.8,24.5,1.58,87.94,87.97,1198649.0,CZ,0
CZ08,21414.23,71.0,76.8,22.5,1.16,88.8,89.25,1183440.0,CZ,0
DE11,239156.22,159.0,81.7,35.5,6.81,,,4151094.0,DE,0
