freq,quant_inc,coicop,unit,geo,1988,1994,1999,2005,2010,time,values
A,QU1,CP01,PM,AT,,176.2,178.6,155.0,146.0,2015,137.0
A,QU1,CP01,PM,CZ,,,,242.0,228.0,2015,237.0
A,QU1,CP01,PM,HU,,,,294.0,209.0,2015,226.0
A,QU1,CP01,PM,PL,,,,305.0,259.0,2015,237.0
A,QU1,CP01,PM,RO,,,,588.0,415.0,2015,386.0
A,QU1,CP01,PM,SK,,,,305.0,238.0,2015,227.0
A,QU1,CP011,PM,AT,,158.9,160.6,139.0,129.0,2015,120.0
A,QU1,CP011,PM,CZ,,,,217.0,209.0,2015,217.0
A,QU1,CP011,PM,HU,,,,272.0,193.0,2015,207.0
A,QU1,CP011,PM,PL,,,,287.0,241.0,2015,218.0
A,QU1,CP011,PM,RO,,,,568.0,396.0,2015,368.0
A,QU1,CP011,PM,SK,,,,282.0,217.0,2015,206.0
A,QU1,CP012,PM,AT,,17.3,18.0,16.0,16.0,2015,16.0
A,QU1,CP012,PM,CZ,,,,25.0,20.0,2015,20.0
A,QU1,CP012,PM,HU,,,,21.0,15.0,2015,18.0
A,QU1,CP012,PM,PL,,,,18.0,18.0,2015,19.0
A,QU1,CP012,PM,RO,,,,19.0,19.0,2015,18.0
A,QU1,CP012,PM,SK,,,,23.0,21.0,2015,20.0
A,QU1,CP02,PM,AT,,25.0,32.1,32.0,34.0,2015,33.0
A,QU1,CP02,PM,CZ,,,,26.0,26.0,2015,27.0
A,QU1,CP02,PM,HU,,,,43.0,31.0,2015,40.0
A,QU1,CP02,PM,PL,,,,27.0,25.0,2015,21.0
A,QU1,CP02,PM,RO,,,,66.0,56.0,2015,46.0
A,QU1,CP02,PM,SK,,,,28.0,26.0,2015,28.0
A,QU1,CP021,PM,AT,,12.5,11.2,11.0,12.0,2015,12.0
A,QU1,CP021,PM,CZ,,,,13.0,13.0,2015,14.0
A,QU1,CP021,PM,HU,,,,11.0,9.0,2015,14.0
A,QU1,CP021,PM,PL,,,,7.0,8.0,2015,8.0
A,QU1,CP021,PM,RO,,,,23.0,21.0,2015,18.0
A,QU1,CP021,PM,SK,,,,12.0,12.0,2015,13.0
A,QU1,CP022,PM,AT,,12.5,20.9,20.0,23.0,2015,21.0
A,QU1,CP022,PM,CZ,,,,13.0,13.0,2015,14.0
A,QU1,CP022,PM,HU,,,,33.0,23.0,2015,26.0
A,QU1,CP022,PM,PL,,,,20.0,17.0,2015,12.0
A,QU1,CP022,PM,RO,,,,42.0,35.0,2015,27.0
A,QU1,CP022,PM,SK,,,,16.0,14.0,2015,15.0
A,QU1,CP023,PM,AT,,0.0,,,0.0,2015,0.0
A,QU1,CP023,PM,CZ,,,,,0.0,2015,0.0
A,QU1,CP023,PM,HU,,,,,0.0,2015,0.0
A,QU1,CP023,PM,PL,,,,,0.0,2015,0.0
A,QU1,CP023,PM,RO,,,,,0.0,2015,0.0
A,QU1,CP023,PM,SK,,,,,0.0,2015,0.0
A,QU1,CP03,PM,AT,,88.8,64.8,57.0,53.0,2015,43.0
A,QU1,CP03,PM,CZ,,,,57.0,34.0,2015,38.0
A,QU1,CP03,PM,HU,,,,44.0,19.0,2015,18.0
A,QU1,CP03,PM,PL,,,,27.0,29.0,2015,31.0
A,QU1,CP03,PM,RO,,,,44.0,26.0,2015,24.0
A,QU1,CP03,PM,SK,,,,39.0,30.0,2015,28.0
A,QU1,CP031,PM,AT,,74.1,47.9,45.0,40.0,2015,31.0
A,QU1,CP031,PM,CZ,,,,41.0,25.0,2015,28.0
A,QU1,CP031,PM,HU,,,,30.0,13.0,2015,12.0
A,QU1,CP031,PM,PL,,,,18.0,19.0,2015,21.0
A,QU1,CP031,PM,RO,,,,25.0,14.0,2015,13.0
A,QU1,CP031,PM,SK,,,,23.0,18.0,2015,19.0
A,QU1,CP032,PM,AT,,14.7,16.9,12.0,13.0,2015,12.0
A,QU1,CP032,PM,CZ,,,,16.0,10.0,2015,11.0
A,QU1,CP032,PM,HU,,,,14.0,6.0,2015,6.0
A,QU1,CP032,PM,PL,,,,9.0,10.0,2015,10.0
A,QU1,CP032,PM,RO,,,,18.0,12.0,2015,11.0
A,QU1,CP032,PM,SK,,,,16.0,12.0,2015,9.0
A,QU1,CP04,PM,AT,,218.2,264.5,234.0,290.0,2015,327.0
A,QU1,CP04,PM,CZ,,,,205.0,345.0,2015,335.0
A,QU1,CP04,PM,HU,,,,268.0,451.0,2015,461.0
A,QU1,CP04,PM,PL,,,,384.0,424.0,2015,424.0
