freq,unit,age,sex,geo,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2024,2025,time,values
A,PC,Y12-17,F,AT,,4.9,3.9,5.5,5.6,5.8,6.8,5.7,4.9,4.1,4.7,9.0,8.7,,2015,5.8
A,PC,Y12-17,F,CZ,,,10.3,9.9,11.0,5.8,5.3,6.3,7.4,5.8,6.3,9.8,5.9,2.8,2015,6.9
A,PC,Y12-17,F,HU,,,8.9,12.1,8.5,10.3,10.9,13.3,13.7,17.6,14.6,13.2,3.7,3.3,2015,10.5
A,PC,Y12-17,F,PL,,,10.0,10.0,7.1,5.4,5.1,5.2,4.5,4.7,4.0,5.9,3.2,3.5,2015,5.8
A,PC,Y12-17,F,RO,,,,,7.2,6.9,6.0,4.5,4.3,6.9,4.5,4.6,7.6,6.3,2015,4.9
A,PC,Y12-17,F,SK,,,4.3,2.8,3.3,3.1,3.5,6.8,5.8,6.7,10.2,6.7,3.6,,2015,9.3
A,PC,Y12-17,M,AT,,4.0,6.9,8.4,6.7,3.5,3.7,5.6,7.7,6.5,8.4,7.7,5.7,,2015,9.4
A,PC,Y12-17,M,CZ,,,7.5,7.6,7.9,8.7,6.7,6.9,6.5,5.3,4.8,5.6,6.9,6.1,2015,5.9
A,PC,Y12-17,M,HU,,,10.0,13.4,9.4,10.0,11.3,13.5,14.5,14.2,13.5,12.6,4.7,3.3,2015,10.6
A,PC,Y12-17,M,PL,,,10.7,9.6,7.9,5.8,6.4,7.1,5.8,6.0,5.7,5.4,3.8,3.3,2015,6.3
A,PC,Y12-17,M,RO,,,,,10.5,6.4,6.1,4.7,4.7,3.1,4.3,5.1,3.1,5.9,2015,6.1
A,PC,Y12-17,M,SK,,,6.3,4.5,5.8,3.7,3.9,5.1,6.4,9.3,9.2,7.2,4.8,,2015,5.8
A,PC,Y12-17,T,AT,,4.4,5.5,7.0,6.2,4.6,5.2,5.6,6.4,5.3,6.6,8.4,7.1,,2015,7.7
A,PC,Y12-17,T,CZ,,,8.9,8.7,9.4,7.3,6.1,6.6,6.9,5.5,5.5,7.7,6.4,4.5,2015,6.4
A,PC,Y12-17,T,HU,,,9.4,12.8,9.0,10.2,11.1,13.4,14.1,15.9,14.0,12.9,4.2,3.3,2015,10.6
A,PC,Y12-17,T,PL,,,10.4,9.8,7.5,5.6,5.8,6.2,5.2,5.3,4.9,5.6,3.5,3.4,2015,6.1
A,PC,Y12-17,T,RO,,,,,8.9,6.6,6.0,4.6,4.5,5.0,4.4,4.8,5.2,6.1,2015,5.5
A,PC,Y12-17,T,SK,,,5.3,3.6,4.6,3.4,3.7,5.8,6.1,8.1,9.6,6.9,4.2,,2015,7.5
A,PC,Y15-19,F,AT,,5.0,4.0,4.7,4.6,5.2,6.9,7.3,6.3,3.5,3.7,7.2,4.2,,2015,4.6
A,PC,Y15-19,F,CZ,,,5.3,5.8,9.0,6.1,4.9,6.2,6.8,8.6,8.7,8.8,4.5,2.8,2015,7.3
A,PC,Y15-19,F,HU,,,8.9,10.3,9.9,12.3,11.1,12.3,12.0,16.3,14.4,15.6,6.1,5.0,2015,9.3
A,PC,Y15-19,F,PL,,,10.7,12.0,8.4,5.8,4.7,4.7,4.5,5.2,5.1,5.7,2.8,3.7,2015,6.2
A,PC,Y15-19,F,RO,,,,,6.4,7.4,7.1,5.8,5.5,6.2,4.7,6.2,4.5,8.4,2015,7.1
A,PC,Y15-19,F,SK,,,4.1,3.7,3.7,3.2,3.7,6.4,4.7,6.5,7.3,4.9,3.4,,2015,6.4
A,PC,Y15-19,M,AT,,3.8,6.1,5.7,6.9,3.6,2.3,6.7,6.6,4.3,4.8,5.6,4.8,,2015,8.7
A,PC,Y15-19,M,CZ,,,8.8,10.4,8.6,7.4,6.8,6.3,8.1,6.0,5.8,5.7,5.2,5.3,2015,4.5
A,PC,Y15-19,M,HU,,,8.6,14.6,12.5,12.0,11.6,12.8,13.6,15.1,13.2,9.7,6.0,2.8,2015,9.6
A,PC,Y15-19,M,PL,,,13.0,11.4,9.5,6.4,5.4,6.1,5.5,6.7,6.0,6.4,3.3,3.0,2015,6.7
A,PC,Y15-19,M,RO,,,,,9.3,7.7,7.0,5.4,4.8,2.0,5.2,4.5,3.6,6.0,2015,3.5
