freq,unit,incgrp,age,sex,geo,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2024,2025,time,values
A,PC,A_MD60,TOTAL,F,AT,,3.0,1.4,1.8,2.1,3.7,3.4,2.9,3.8,2.2,1.9,1.8,1.7,,2015,2.1
A,PC,A_MD60,TOTAL,F,CZ,,,7.4,8.5,8.1,10.0,6.6,6.5,6.9,7.1,8.9,8.0,5.8,5.0,2015,7.1
A,PC,A_MD60,TOTAL,F,HU,,,14.5,7.6,7.6,8.2,5.4,8.4,9.5,11.7,10.5,9.0,4.9,2.7,2015,4.8
A,PC,A_MD60,TOTAL,F,PL,,,9.9,7.8,6.7,6.1,5.0,5.4,5.7,5.8,6.2,5.5,2.0,1.4,2015,4.5
A,PC,A_MD60,TOTAL,F,RO,,,,,12.1,13.1,9.6,9.8,7.4,11.8,10.5,9.1,2.1,2.5,2015,7.7
A,PC,A_MD60,TOTAL,F,SK,,,9.6,13.4,15.4,3.9,6.2,4.4,4.4,4.6,4.6,5.5,1.8,,2015,6.0
A,PC,A_MD60,TOTAL,M,AT,,2.7,1.1,1.4,1.6,2.6,1.8,2.7,2.3,1.6,1.8,1.5,1.2,,2015,1.5
A,PC,A_MD60,TOTAL,M,CZ,,,6.3,7.0,6.4,8.7,4.9,4.9,4.9,5.2,6.8,5.8,4.6,3.9,2015,5.4
A,PC,A_MD60,TOTAL,M,HU,,,12.8,6.4,6.3,6.3,4.6,6.9,7.4,9.4,8.8,7.4,4.7,2.8,2015,4.1
A,PC,A_MD60,TOTAL,M,PL,,,7.5,5.2,4.7,4.2,3.1,3.7,3.6,4.6,4.8,4.0,1.5,1.1,2015,2.9
A,PC,A_MD60,TOTAL,M,RO,,,,,11.0,10.9,8.6,8.4,6.4,9.1,8.4,7.1,1.9,2.0,2015,6.1
A,PC,A_MD60,TOTAL,M,SK,,,7.7,8.4,12.3,2.1,4.8,3.2,3.5,3.6,3.9,4.6,1.2,,2015,5.1
