freq,unit,subjnmon,hhtyp,incgrp,geo,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2024,2025,time,values
A,PC,EM_D,A1,A_MD60,AT,12.6,7.4,6.6,4.6,4.7,7.2,8.3,8.7,9.6,8.5,8.1,9.5,8.0,,2015,8.5
A,PC,EM_D,A1,A_MD60,CZ,,,20.9,21.4,21.7,24.0,21.6,20.7,19.8,23.4,25.2,24.8,9.3,9.6,2015,22.5
A,PC,EM_D,A1,A_MD60,HU,,,21.9,22.1,27.3,28.7,32.1,31.1,31.5,31.6,29.5,26.8,10.6,12.0,2015,27.3
A,PC,EM_D,A1,A_MD60,PL,,,25.7,27.7,25.0,24.8,22.0,21.2,20.0,18.8,19.9,19.4,10.5,8.4,2015,19.7
A,PC,EM_D,A1,A_MD60,RO,,,,,28.0,29.0,27.5,28.6,30.4,31.6,32.2,30.3,16.6,17.4,2015,31.2
A,PC,EM_D,A1,A_MD60,SK,,,22.5,26.6,26.6,26.0,26.2,24.2,26.4,27.5,26.5,28.0,20.0,,2015,25.3
A,PC,EM_D,A1,B_MD60,AT,22.7,14.6,17.6,14.8,19.0,16.7,16.7,16.3,16.8,17.2,20.8,20.8,17.3,,2015,21.6
A,PC,EM_D,A1,B_MD60,CZ,,,33.3,29.9,31.7,32.5,28.8,31.8,31.9,32.0,36.3,32.6,21.0,17.1,2015,28.6
A,PC,EM_D,A1,B_MD60,HU,,,24.8,27.5,33.1,30.2,35.2,27.0,26.5,28.6,21.5,28.2,24.3,25.8,2015,26.1
A,PC,EM_D,A1,B_MD60,PL,,,16.6,21.6,22.0,24.6,24.5,27.1,27.7,27.1,28.1,27.2,24.1,22.7,2015,25.7
A,PC,EM_D,A1,B_MD60,RO,,,,,34.4,37.5,35.3,37.4,35.0,34.3,32.8,35.3,30.5,31.6,2015,35.3
A,PC,EM_D,A1,B_MD60,SK,,,26.3,22.8,34.7,33.3,31.2,30.3,30.7,33.1,29.5,27.7,25.2,,2015,24.8
A,PC,EM_D,A1,TOTAL,AT,14.9,9.0,8.8,6.9,7.5,9.4,10.3,10.6,11.4,10.6,10.9,12.1,10.4,,2015,11.3
A,PC,EM_D,A1,TOTAL,CZ,,,22.9,22.9,23.3,25.5,23.0,22.7,22.0,24.7,26.8,26.0,11.1,10.8,2015,23.7
A,PC,EM_D,A1,TOTAL,HU,,,22.5,23.0,28.2,28.9,32.5,30.6,30.8,31.1,28.4,26.9,14.2,15.7,2015,27.1
A,PC,EM_D,A1,TOTAL,PL,,,24.2,26.7,24.5,24.8,22.5,22.7,22.0,20.8,21.7,21.0,14.5,12.6,2015,21.1
A,PC,EM_D,A1,TOTAL,RO,,,,,30.3,31.9,29.8,31.0,31.5,32.2,32.3,31.6,19.6,20.2,2015,32.4
A,PC,EM_D,A1,TOTAL,SK,,,23.1,26.0,28.0,27.6,27.3,25.4,27.2,28.6,27.0,28.0,21.3,,2015,25.2
A,PC,EM_D,A1F,A_MD60,AT,13.2,8.0,7.0,5.2,5.1,8.2,8.4,10.0,10.6,9.7,9.1,9.9,7.7,,2015,9.6
A,PC,EM_D,A1F,A_MD60,CZ,,,23.3,23.1,24.4,29.0,23.6,23.3,22.4,27.4,27.4,27.6,10.9,10.3,2015,24.5
A,PC,EM_D,A1F,A_MD60,HU,,,24.4,24.1,29.2,29.8,33.1,33.1,32.8,32.4,31.3,29.9,12.3,13.2,2015,30.6
A,PC,EM_D,A1F,A_MD60,PL,,,27.5,29.8,26.7,26.3,24.6,22.8,23.0,21.6,22.7,21.3,12.0,9.4,2015,21.0
A,PC,EM_D,A1F,A_MD60,RO,,,,,28.0,30.8,29.3,29.2,32.1,32.5,33.5,30.5,19.4,19.5,2015,34.0
A,PC,EM_D,A1F,A_MD60,SK,,,24.2,27.2,28.9,26.7,29.5,25.8,27.7,27.7,28.2,29.1,23.3,,2015,27.5
A,PC,EM_D,A1F,B_MD60,AT,23.2,12.6,15.9,15.0,18.6,16.5,16.7,17.9,18.0,17.5,18.6,19.3,21.0,,2015,23.4
A,PC,EM_D,A1F,B_MD60,CZ,,,38.0,35.9,30.5,32.2,30.8,35.1,36.3,35.2,41.9,33.7,21.0,18.7,2015,31.0
A,PC,EM_D,A1F,B_MD60,HU,,,26.5,29.5,35.2,31.8,38.2,29.4,30.2,28.1,20.8,27.6,24.5,25.8,2015,27.2
A,PC,EM_D,A1F,B_MD60,PL,,,19.0,21.0,20.3,26.1,26.0,28.3,29.3,27.9,30.0,29.1,24.8,24.1,2015,27.6
A,PC,EM_D,A1F,B_MD60,RO,,,,,35.7,36.2,35.4,36.3,34.4,35.3,33.4,37.9,32.2,33.7,2015,39.5
A,PC,EM_D,A1F,B_MD60,SK,,,25.0,25.8,31.0,34.8,33.9,30.1,28.0,33.9,32.2,26.1,25.2,,2015,26.9
A,PC,EM_D,A1F,TOTAL,AT,15.7,9.2,9.0,7.7,8.3,10.3,10.6,12.2,12.6,11.8,11.4,12.3,11.4,,2015,12.7
A,PC,EM_D,A1F,TOTAL,CZ,,,25.7,25.5,25.4,29.7,25.2,25.9,25.4,28.7,29.8,28.7,12.8,11.9,2015,25.9
A,PC,EM_D,A1F,TOTAL,HU,,,24.7,24.9,30.0,30.0,33.7,32.8,32.5,31.9,30.1,29.7,15.7,16.9,2015,30.2
A,PC,EM_D,A1F,TOTAL,PL,,,26.5,28.8,26.0,26.3,24.9,24.1,24.5,23.0,24.2,22.7,16.2,14.2,2015,22.4
A,PC,EM_D,A1F,TOTAL,RO,,,,,31.2,32.9,31.3,31.3,32.7,33.2,33.5,32.5,22.5,22.9,2015,35.8
A,PC,EM_D,A1F,TOTAL,SK,,,24.3,27.0,29.3,28.5,30.6,26.6,27.7,28.8,28.8,28.7,23.7,,2015,27.4
A,PC,EM_D,A1M,A_MD60,AT,11.9,6.5,6.1,3.8,4.1,6.0,8.1,7.1,8.2,6.9,6.9,9.0,8.4,,2015,7.1
A,PC,EM_D,A1M,A_MD60,CZ,,,17.2,18.8,17.6,16.7,18.6,17.2,16.1,17.6,22.2,21.2,7.0,8.6,2015,19.8
A,PC,EM_D,A1M,A_MD60,HU,,,16.9,16.9,22.2,26.1,29.5,26.3,29.0,29.8,26.0,20.8,8.3,10.4,2015,21.5
A,PC,EM_D,A1M,A_MD60,PL,,,21.6,22.5,20.8,21.4,15.8,17.2,12.6,12.7,14.0,15.4,8.0,6.9,2015,17.0
A,PC,EM_D,A1M,A_MD60,RO,,,,,28.1,26.4,24.6,27.7,27.4,29.8,29.9,30.0,13.0,14.5,2015,27.1
A,PC,EM_D,A1M,A_MD60,SK,,,16.4,24.4,19.6,24.1,18.9,20.0,22.8,27.2,21.3,25.6,12.4,,2015,20.7
A,PC,EM_D,A1M,B_MD60,AT,21.8,19.1,21.3,14.4,20.1,17.1,16.9,13.4,14.8,16.7,24.5,23.0,12.2,,2015,19.2
A,PC,EM_D,A1M,B_MD60,CZ,,,26.1,17.5,34.1,33.1,24.1,21.8,21.7,24.6,25.1,30.4,20.8,13.8,2015,23.3
A,PC,EM_D,A1M,B_MD60,HU,,,22.9,24.8,29.7,28.5,31.3,24.2,22.8,29.0,22.2,28.6,23.8,25.7,2015,25.2
A,PC,EM_D,A1M,B_MD60,PL,,,14.5,22.0,23.6,22.4,21.7,25.0,25.2,26.0,25.3,24.6,22.5,19.4,2015,23.0
A,PC,EM_D,A1M,B_MD60,RO,,,,,30.6,41.2,34.9,40.4,36.8,32.1,31.6,30.4,27.1,25.8,2015,27.6
A,PC,EM_D,A1M,B_MD60,SK,,,30.3,14.6,48.2,27.8,23.3,30.6,35.3,31.6,24.0,29.9,25.2,,2015,22.7
A,PC,EM_D,A1M,TOTAL,AT,13.6,8.7,8.5,5.6,6.4,8.2,9.8,8.4,9.8,9.0,10.1,11.9,9.3,,2015,9.6
A,PC,EM_D,A1M,TOTAL,CZ,,,18.6,18.6,19.9,19.0,19.4,17.7,16.9,18.4,22.5,22.3,8.6,9.3,2015,20.4
A,PC,EM_D,A1M,TOTAL,HU,,,18.4,18.8,23.7,26.6,29.8,25.9,27.6,29.6,25.2,22.3,11.9,13.8,2015,22.3
A,PC,EM_D,A1M,TOTAL,PL,,,19.8,22.4,21.5,21.6,17.3,19.4,16.6,16.5,16.9,17.7,11.6,9.9,2015,18.6
A,PC,EM_D,A1M,TOTAL,RO,,,,,28.7,30.0,26.9,30.5,29.0,30.3,30.3,30.1,15.5,15.9,2015,27.3
A,PC,EM_D,A1M,TOTAL,SK,,,18.9,22.5,24.0,24.8,19.8,22.3,25.8,28.2,21.8,26.5,15.5,,2015,21.1
A,PC,EM_D,A1_DCH,A_MD60,AT,14.1,10.3,17.7,12.0,14.8,20.6,17.7,12.6,16.1,13.1,12.2,19.1,14.6,,2015,17.0
A,PC,EM_D,A1_DCH,A_MD60,CZ,,,23.5,22.6,31.5,33.2,30.5,29.9,27.4,31.5,26.7,31.9,23.7,16.5,2015,25.0
A,PC,EM_D,A1_DCH,A_MD60,HU,,,23.2,27.5,38.0,40.7,39.4,32.2,33.7,40.9,33.2,35.4,18.7,16.1,2015,32.9
